week_start,total_qty,total_space_m3
2022-12-26,1940,3.958184
2023-01-02,17115,33.944778
2023-01-09,17336,33.678261
2023-01-16,15216,30.31736
2023-01-23,15193,28.747500000000002
2023-01-30,16630,31.438037
2023-02-06,17053,31.912503
2023-02-13,17869,33.972696
2023-02-20,15171,29.315303
2023-02-27,17739,35.720735000000005
2023-03-06,17458,34.440968000000005
2023-03-13,10909,21.761158000000002
2023-03-20,8883,17.12959
2023-03-27,7405,13.555302000000001
2023-04-03,8875,16.886468
2023-04-10,9227,18.503348000000003
2023-04-17,8736,16.455788000000002
2023-04-24,8646,17.722506
2023-05-01,8353,16.383222
2023-05-08,8397,16.479346
2023-05-15,8133,14.143275000000001
2023-05-22,8390,16.697396
2023-05-29,7462,13.020339
2023-06-05,8551,16.950641
2023-06-12,7426,15.007097
2023-06-19,9058,16.331276000000003
2023-06-26,8585,16.077258
2023-07-03,8949,16.973081
2023-07-10,8000,16.768228
2023-07-17,8241,17.073677
2023-07-24,10571,20.550665000000002
2023-07-31,7678,15.026821
2023-08-07,8145,16.361644000000002
2023-08-14,8783,15.671416
2023-08-21,7900,15.314632000000001
2023-08-28,8427,15.121805
2023-09-04,7898,15.605325
2023-09-11,7167,14.265672
2023-09-18,7373,15.397202
2023-09-25,7976,14.126374
2023-10-02,6993,14.499149000000001
2023-10-09,6460,11.782204
2023-10-16,7502,14.492885000000001
2023-10-23,7446,15.69612
2023-10-30,7559,14.370352
2023-11-06,6812,13.713643000000001
2023-11-13,6581,11.423238000000001
2023-11-20,6975,13.053131
2023-11-27,7134,13.803522000000001
2023-12-04,6548,10.855124
2023-12-11,7603,16.406381
2023-12-18,7932,14.362968
2023-12-25,8062,14.97564
