prod_name,stock_xfer_date
Laptop,2023-03-05
Monitor,2023-02-12
Smartphone,2023-01-01
Headphones,2023-01-16
Monitor,2023-01-20
Monitor,2023-02-28
Smartphone,2023-01-08
Monitor,2023-03-03
Laptop,2023-03-02
Monitor,2023-01-23
Smartphone,2023-02-05
Laptop,2023-01-09
Laptop,2023-02-20
Smartphone,2023-01-14
Laptop,2023-02-21
Monitor,2023-03-02
Monitor,2023-01-27
Smartphone,2023-01-04
Smartphone,2023-01-12
Headphones,2023-01-16
Smartphone,2023-01-15
Laptop,2023-01-12
Laptop,2023-01-02
Smartphone,2023-01-05
Smartphone,2023-02-09
Laptop,2023-01-19
Monitor,2023-02-11
Headphones,2023-02-24
Headphones,2023-02-19
Smartphone,2023-02-24
Smartphone,2023-03-02
Laptop,2023-01-13
Laptop,2023-02-21
Laptop,2023-01-04
Monitor,2023-02-15
Smartphone,2023-01-07
Laptop,2023-01-12
Monitor,2023-02-28
Monitor,2023-01-09
Monitor,2023-03-01
Headphones,2023-02-16
Smartphone,2023-01-05
Monitor,2023-02-16
Monitor,2023-01-02
Laptop,2023-01-04
Smartphone,2023-01-23
Headphones,2023-02-11
Laptop,2023-01-05
Smartphone,2023-01-09
Monitor,2023-01-09
Headphones,2023-03-03
Laptop,2023-03-13
Smartphone,2023-01-22
Monitor,2023-01-17
Headphones,2023-02-14
Monitor,2023-03-12
Smartphone,2023-01-15
Laptop,2023-02-07
Monitor,2023-03-06
Smartphone,2023-01-03
Smartphone,2023-01-10
Monitor,2023-01-27
Monitor,2023-02-06
Laptop,2023-01-06
Laptop,2023-01-01
Smartphone,2023-01-12
Headphones,2023-02-27
Laptop,2023-01-26
Smartphone,2023-01-20
Smartphone,2023-02-16
Monitor,2023-02-26
Monitor,2023-01-08
Laptop,2023-02-27
Laptop,2023-02-18
Smartphone,2023-01-15
Smartphone,2023-02-05
Headphones,2023-01-04
Smartphone,2023-02-02
Monitor,2023-02-28
Smartphone,2023-02-28
Headphones,2023-03-03
Headphones,2023-02-07
Smartphone,2023-01-07
Headphones,2023-02-11
Smartphone,2023-02-16
Smartphone,2023-02-02
Smartphone,2023-02-23
Headphones,2023-01-17
Smartphone,2023-03-02
Laptop,2023-03-10
Headphones,2023-02-20
Smartphone,2023-02-24
Monitor,2023-02-25
Smartphone,2023-01-03
Headphones,2023-02-18
Headphones,2023-03-04
Smartphone,2023-01-01
Laptop,2023-02-25
Monitor,2023-03-11
Monitor,2023-02-13
Monitor,2023-02-14
Headphones,2023-02-21
Laptop,2023-01-17
Smartphone,2023-01-19
Monitor,2023-03-08
Smartphone,2023-01-14
Smartphone,2023-03-14
Smartphone,2023-03-12
Headphones,2023-03-08
Headphones,2023-01-12
Headphones,2023-01-03
Monitor,2023-03-14
Headphones,2023-01-14
Smartphone,2023-01-04
Smartphone,2023-03-14
Laptop,2023-01-06
Monitor,2023-01-31
Monitor,2023-02-01
Smartphone,2023-01-15
Monitor,2023-01-28
Headphones,2023-02-06
Smartphone,2023-02-05
Headphones,2023-02-28
Laptop,2023-01-26
Monitor,2023-01-08
Smartphone,2023-03-07
Headphones,2023-02-05
Headphones,2023-01-22
Smartphone,2023-03-01
Smartphone,2023-01-05
Monitor,2023-02-23
Headphones,2023-01-09
Laptop,2023-02-20
Headphones,2023-01-22
Monitor,2023-01-25
Smartphone,2023-03-03
Headphones,2023-01-02
Laptop,2023-03-05
Laptop,2023-02-11
Monitor,2023-01-11
Headphones,2023-02-12
Monitor,2023-02-15
Laptop,2023-01-04
Laptop,2023-01-06
Monitor,2023-01-10
Headphones,2023-01-08
Headphones,2023-01-15
Laptop,2023-03-03
Smartphone,2023-01-17
Monitor,2023-03-01
Monitor,2023-02-10
Headphones,2023-03-06
Smartphone,2023-01-13
Headphones,2023-01-22
Headphones,2023-03-08
Laptop,2023-01-30
Headphones,2023-01-15
Monitor,2023-03-11
Laptop,2023-01-05
Monitor,2023-02-19
Monitor,2023-02-28
Laptop,2023-03-01
Monitor,2023-02-27
Smartphone,2023-03-08
Laptop,2023-01-03
Monitor,2023-01-14
Headphones,2023-01-23
Monitor,2023-02-25
Smartphone,2023-01-04
Smartphone,2023-02-02
Monitor,2023-01-10
Headphones,2023-01-09
Smartphone,2023-03-12
Smartphone,2023-01-24
Laptop,2023-01-23
Headphones,2023-03-03
Laptop,2023-01-05
Headphones,2023-02-03
Smartphone,2023-01-31
Headphones,2023-02-04
Headphones,2023-02-24
Headphones,2023-01-05
Monitor,2023-01-01
Smartphone,2023-01-24
Smartphone,2023-03-11
Laptop,2023-01-31
