price,stock_xfer_date
253.17,2023-03-05
403.33,2023-02-12
18.87,2023-01-01
81.29,2023-01-16
21.35,2023-01-20
229.05,2023-02-28
446.23,2023-01-08
27.31,2023-03-03
203.69,2023-03-02
424.19,2023-01-23
272.92,2023-02-05
330.94,2023-01-09
465.68,2023-02-20
286.13,2023-01-14
32.71,2023-02-21
405.37,2023-03-02
301.6,2023-01-27
498.84,2023-01-04
289.7,2023-01-12
149.54,2023-01-16
393.54,2023-01-15
38.1,2023-01-12
329.15,2023-01-02
291.37,2023-01-05
167.95,2023-02-09
243.63,2023-01-19
303.83,2023-02-11
496.18,2023-02-24
115.19,2023-02-19
497.17,2023-02-24
210.08,2023-03-02
285.28,2023-01-13
259.18,2023-02-21
104.78,2023-01-04
114.64,2023-02-15
155.72,2023-01-07
491.67,2023-01-12
294.34,2023-02-28
468.64,2023-01-09
309.96,2023-03-01
461.05,2023-02-16
182.31,2023-01-05
271.66,2023-02-16
66.33,2023-01-02
451.97,2023-01-04
140.45,2023-01-23
361.9,2023-02-11
268,2023-01-05
127.17,2023-01-09
168.71,2023-01-09
181.28,2023-03-03
469.01,2023-03-13
370.88,2023-01-22
55.96,2023-01-17
349.24,2023-02-14
283.68,2023-03-12
496.16,2023-01-15
310.91,2023-02-07
29.04,2023-03-06
68.19,2023-01-03
55.81,2023-01-10
353.75,2023-01-27
193.04,2023-02-06
430.3,2023-01-06
122.91,2023-01-01
18.47,2023-01-12
463.59,2023-02-27
295.69,2023-01-26
152.37,2023-01-20
179.46,2023-02-16
308.53,2023-02-26
357.02,2023-01-08
95.98,2023-02-27
245.68,2023-02-18
419.95,2023-01-15
250,2023-02-05
458.19,2023-01-04
261.61,2023-02-02
372.25,2023-02-28
223.2,2023-02-28
427.57,2023-03-03
178.41,2023-02-07
99.64,2023-01-07
290.83,2023-02-11
83.99,2023-02-16
467.43,2023-02-02
184.57,2023-02-23
211.9,2023-01-17
436.49,2023-03-02
284.47,2023-03-10
338.47,2023-02-20
102.26,2023-02-24
87.94,2023-02-25
452.7,2023-01-03
180.27,2023-02-18
475.94,2023-03-04
227.15,2023-01-01
75.6,2023-02-25
472.54,2023-03-11
83.99,2023-02-13
363.88,2023-02-14
200.63,2023-02-21
96.08,2023-01-17
291.61,2023-01-19
185.55,2023-03-08
38.26,2023-01-14
204.06,2023-03-14
148.73,2023-03-12
490.69,2023-03-08
28.1,2023-01-12
25.98,2023-01-03
214.18,2023-03-14
342.29,2023-01-14
271.81,2023-01-04
236.06,2023-03-14
40.89,2023-01-06
393.4,2023-01-31
189.97,2023-02-01
364.05,2023-01-15
471.21,2023-01-28
258.61,2023-02-06
118.06,2023-02-05
140.64,2023-02-28
472.02,2023-01-26
489.28,2023-01-08
398.27,2023-03-07
348.74,2023-02-05
430.4,2023-01-22
430.03,2023-03-01
139.97,2023-01-05
172.59,2023-02-23
467.79,2023-01-09
320.77,2023-02-20
469.77,2023-01-22
49.38,2023-01-25
228.25,2023-03-03
165.66,2023-01-02
47.85,2023-03-05
125.96,2023-02-11
375.22,2023-01-11
269,2023-02-12
326.1,2023-02-15
53.97,2023-01-04
478.13,2023-01-06
479.52,2023-01-10
423.42,2023-01-08
173.01,2023-01-15
401.24,2023-03-03
189.28,2023-01-17
459.95,2023-03-01
410.3,2023-02-10
269.52,2023-03-06
399.74,2023-01-13
254.97,2023-01-22
367.74,2023-03-08
268.1,2023-01-30
415.53,2023-01-15
174.26,2023-03-11
408.28,2023-01-05
48.82,2023-02-19
491.76,2023-02-28
11.18,2023-03-01
197.43,2023-02-27
419.47,2023-03-08
427.2,2023-01-03
56.45,2023-01-14
332.72,2023-01-23
267.42,2023-02-25
227.51,2023-01-04
366.64,2023-02-02
150.56,2023-01-10
151.08,2023-01-09
202.02,2023-03-12
286.07,2023-01-24
100.38,2023-01-23
289.74,2023-03-03
71.17,2023-01-05
203.71,2023-02-03
90.74,2023-01-31
23.68,2023-02-04
318.7,2023-02-24
269.58,2023-01-05
341.11,2023-01-01
168.63,2023-01-24
209.67,2023-03-11
413.86,2023-01-31
63.77,2023-01-23
10.27,2023-02-13
290.2,2023-02-24
217.57,2023-01-22
113.25,2023-02-02
211.85,2023-02-14
372.55,2023-01-10
26.47,2023-01-30
261.63,2023-01-21
207.4,2023-02-13
239.16,2023-03-09
422.43,2023-02-08
226.27,2023-02-16
289.06,2023-02-02
70.99,2023-02-14
373.53,2023-02-05
270.63,2023-02-04
156.5,2023-03-06
183.67,2023-01-08
130.44,2023-03-05
219.75,2023-01-18
114.58,2023-02-27
283.59,2023-02-25
89.44,2023-02-26
93.66,2023-01-19
236.17,2023-02-14
98.36,2023-02-26
18.02,2023-01-23
271.83,2023-01-05
240.93,2023-01-24
345.04,2023-01-20
78.72,2023-03-01
170.43,2023-01-07
392.02,2023-01-31
108.41,2023-02-03
237.61,2023-03-01
128.34,2023-02-28
178.42,2023-03-03
407.95,2023-01-15
18.31,2023-01-28
415.3,2023-02-20
406.21,2023-02-10
43.56,2023-01-10
346.91,2023-02-25
416.05,2023-02-20
108.29,2023-03-14
460.24,2023-03-02
416.61,2023-01-02
43.72,2023-01-07
214.3,2023-02-24
198.11,2023-01-16
339.24,2023-02-27
101.63,2023-02-13
99.53,2023-02-05
29.42,2023-01-14
168.63,2023-02-14
195.8,2023-02-07
214.22,2023-03-08
333.47,2023-03-05
231.2,2023-01-28
296.88,2023-03-04
327.46,2023-02-11
440.34,2023-03-01
488.27,2023-02-01
188.95,2023-02-04
323.15,2023-02-06
264.87,2023-01-17
214.79,2023-03-12
343.92,2023-01-17
29.16,2023-02-14
111.06,2023-02-04
41.97,2023-01-23
34.39,2023-02-05
147.72,2023-03-12
191.33,2023-01-10
96,2023-03-12
383.05,2023-02-08
87.96,2023-02-12
96.53,2023-01-12
391.71,2023-02-24
313.13,2023-01-24
324.22,2023-03-04
252.3,2023-02-23
149.17,2023-01-27
25.65,2023-03-12
64.79,2023-03-01
362.78,2023-03-03
450.42,2023-01-15
134.15,2023-03-06
207.8,2023-03-03
87.44,2023-01-02
295.56,2023-01-10
43.25,2023-01-20
368.01,2023-01-24
411.18,2023-01-10
96.05,2023-01-02
308.81,2023-02-12
32.4,2023-02-24
127.65,2023-03-12
400.27,2023-01-28
216.58,2023-03-12
153.19,2023-02-08
195.43,2023-02-08
63.08,2023-03-13
378.11,2023-02-11
145.83,2023-01-08
468.79,2023-03-05
410.35,2023-02-22
494.76,2023-03-07
115.36,2023-02-21
253.74,2023-01-03
88.43,2023-02-21
398.79,2023-02-09
437.51,2023-02-11
331.22,2023-02-02
207.46,2023-02-17
497.16,2023-02-13
252.68,2023-02-23
59.53,2023-01-24
110.65,2023-02-28
429.2,2023-01-17
305.92,2023-01-16
436.31,2023-01-01
477.13,2023-02-02
243.06,2023-02-05
348.41,2023-03-03
13.47,2023-03-02
454.3,2023-01-21
85.52,2023-01-08
67.64,2023-01-23
266.61,2023-01-31
434.36,2023-02-24
405.26,2023-02-22
134.76,2023-02-13
469.32,2023-03-02
452.88,2023-02-22
128.06,2023-03-07
237.37,2023-01-23
50.5,2023-01-23
188.43,2023-01-31
114.61,2023-01-22
333.08,2023-02-02
427.79,2023-02-20
220.17,2023-01-07
32.11,2023-01-28
357.12,2023-03-14
301.53,2023-01-10
280.59,2023-03-04
317.15,2023-03-06
358.96,2023-01-26
192.01,2023-02-04
277.69,2023-03-04
11.23,2023-01-26
439.17,2023-01-05
283.79,2023-01-11
102.16,2023-01-16
64.05,2023-02-06
341.13,2023-02-10
370.73,2023-02-17
405.49,2023-02-26
128.01,2023-01-30
468.16,2023-02-17
275.88,2023-02-09
92.84,2023-01-14
481.41,2023-02-20
47.54,2023-01-28
233.08,2023-02-01
164.54,2023-01-16
85.04,2023-03-12
460.04,2023-01-09
481.75,2023-02-26
376.79,2023-03-10
320.6,2023-01-29
365.63,2023-01-22
469.67,2023-03-09
50.66,2023-02-28
102.22,2023-01-01
278.24,2023-01-16
465.13,2023-02-18
300.7,2023-01-14
133.54,2023-02-06
352.48,2023-01-14
139.83,2023-01-19
87.41,2023-02-11
22.96,2023-02-12
267.59,2023-01-19
458.62,2023-03-11
199.43,2023-01-28
33.61,2023-02-26
388.85,2023-02-04
34.73,2023-01-25
360.51,2023-02-20
394.78,2023-01-09
225.2,2023-01-26
193.86,2023-02-17
123.32,2023-01-01
410.86,2023-01-03
314.07,2023-01-22
315.27,2023-02-09
455.97,2023-01-17
125.53,2023-02-18
301.33,2023-03-14
496.12,2023-02-01
370.54,2023-02-18
216.9,2023-01-08
482.09,2023-01-30
78.59,2023-01-07
62.47,2023-01-12
116.07,2023-02-28
110.47,2023-03-14
465.14,2023-01-23
368.61,2023-03-08
373.24,2023-01-17
478.18,2023-02-28
388.3,2023-01-16
350.57,2023-02-27
481.38,2023-01-08
