stock_xfer_date,stock_qty,product,prod_price,prod_dimensions
3/5/2023,3,Laptop,253.17,16x15x15 cm
2/12/2023,40,Monitor,403.33,7x13x5 cm
1/1/2023,98,Smartphone,18.87,11x16x7 cm
1/16/2023,32,Headphones,81.29,14x18x14 cm
1/20/2023,48,Monitor,21.35,11x6x11 cm
2/28/2023,100,Monitor,229.05,5x6x9 cm
1/8/2023,47,Smartphone,446.23,12x5x10 cm
3/3/2023,40,Monitor,27.31,11x9x16 cm
3/2/2023,91,Laptop,203.69,15x8x7 cm
1/23/2023,31,Monitor,424.19,11x9x13 cm
2/5/2023,81,Smartphone,272.92,5x20x11 cm
1/9/2023,84,Laptop,330.94,19x5x16 cm
2/20/2023,100,Laptop,465.68,12x13x16 cm
1/14/2023,12,Smartphone,286.13,18x15x8 cm
2/21/2023,37,Laptop,32.71,15x19x5 cm
3/2/2023,96,Monitor,405.37,18x11x19 cm
1/27/2023,19,Monitor,301.6,19x19x11 cm
1/4/2023,75,Smartphone,498.84,7x6x5 cm
1/12/2023,87,Smartphone,289.7,11x17x6 cm
1/16/2023,92,Headphones,149.54,7x15x15 cm
1/15/2023,72,Smartphone,393.54,16x20x8 cm
1/12/2023,10,Laptop,38.1,13x12x18 cm
1/2/2023,79,Laptop,329.15,19x10x9 cm
1/5/2023,10,Smartphone,291.37,7x19x18 cm
2/9/2023,18,Smartphone,167.95,18x14x12 cm
1/19/2023,51,Laptop,243.63,8x17x7 cm
2/11/2023,44,Monitor,303.83,19x13x11 cm
2/24/2023,4,Headphones,496.18,19x5x17 cm
2/19/2023,30,Headphones,115.19,15x7x16 cm
2/24/2023,3,Smartphone,497.17,16x20x5 cm
3/2/2023,37,Smartphone,210.08,17x10x13 cm
1/13/2023,3,Laptop,285.28,6x10x18 cm
2/21/2023,92,Laptop,259.18,14x6x8 cm
1/4/2023,41,Laptop,104.78,5x12x9 cm
2/15/2023,61,Monitor,114.64,18x11x13 cm
1/7/2023,91,Smartphone,155.72,16x6x9 cm
1/12/2023,52,Laptop,491.67,10x14x8 cm
2/28/2023,36,Monitor,294.34,9x15x10 cm
1/9/2023,10,Monitor,468.64,16x11x18 cm
3/1/2023,38,Monitor,309.96,18x8x10 cm
2/16/2023,57,Headphones,461.05,6x5x10 cm
1/5/2023,17,Smartphone,182.31,12x20x13 cm
2/16/2023,50,Monitor,271.66,19x5x14 cm
1/2/2023,85,Monitor,66.33,13x15x14 cm
1/4/2023,37,Laptop,451.97,7x14x11 cm
1/23/2023,47,Smartphone,140.45,17x9x19 cm
2/11/2023,25,Headphones,361.9,8x9x8 cm
1/5/2023,19,Laptop,268,10x12x10 cm
1/9/2023,11,Smartphone,127.17,13x20x20 cm
1/9/2023,92,Monitor,168.71,11x8x5 cm
3/3/2023,54,Headphones,181.28,6x9x11 cm
3/13/2023,36,Laptop,469.01,7x15x8 cm
1/22/2023,67,Smartphone,370.88,14x10x8 cm
1/17/2023,52,Monitor,55.96,20x10x10 cm
2/14/2023,5,Headphones,349.24,18x20x15 cm
3/12/2023,95,Monitor,283.68,6x5x19 cm
1/15/2023,93,Smartphone,496.16,20x20x16 cm
2/7/2023,1,Laptop,310.91,9x5x12 cm
3/6/2023,76,Monitor,29.04,14x6x5 cm
1/3/2023,36,Smartphone,68.19,16x19x20 cm
1/10/2023,22,Smartphone,55.81,15x10x8 cm
1/27/2023,100,Monitor,353.75,13x18x12 cm
2/6/2023,68,Monitor,193.04,20x17x20 cm
1/6/2023,53,Laptop,430.3,19x19x18 cm
1/1/2023,4,Laptop,122.91,6x19x5 cm
1/12/2023,100,Smartphone,18.47,19x13x16 cm
2/27/2023,80,Headphones,463.59,15x8x6 cm
1/26/2023,94,Laptop,295.69,5x17x11 cm
1/20/2023,85,Smartphone,152.37,5x17x8 cm
2/16/2023,24,Smartphone,179.46,8x20x8 cm
2/26/2023,75,Monitor,308.53,15x17x9 cm
1/8/2023,49,Monitor,357.02,11x7x5 cm
2/27/2023,85,Laptop,95.98,14x8x13 cm
2/18/2023,29,Laptop,245.68,13x9x16 cm
1/15/2023,71,Smartphone,419.95,13x15x19 cm
2/5/2023,1,Smartphone,250,15x6x11 cm
1/4/2023,17,Headphones,458.19,19x9x17 cm
2/2/2023,98,Smartphone,261.61,10x14x10 cm
2/28/2023,79,Monitor,372.25,7x17x12 cm
2/28/2023,19,Smartphone,223.2,18x17x12 cm
3/3/2023,72,Headphones,427.57,6x17x14 cm
2/7/2023,85,Headphones,178.41,10x17x15 cm
1/7/2023,7,Smartphone,99.64,18x8x11 cm
2/11/2023,87,Headphones,290.83,20x19x8 cm
2/16/2023,78,Smartphone,83.99,14x10x8 cm
2/2/2023,26,Smartphone,467.43,13x8x20 cm
2/23/2023,11,Smartphone,184.57,12x10x9 cm
1/17/2023,50,Headphones,211.9,10x16x14 cm
3/2/2023,11,Smartphone,436.49,13x6x10 cm
3/10/2023,6,Laptop,284.47,7x16x10 cm
2/20/2023,54,Headphones,338.47,18x8x10 cm
2/24/2023,31,Smartphone,102.26,15x10x8 cm
2/25/2023,73,Monitor,87.94,6x19x9 cm
1/3/2023,13,Smartphone,452.7,19x14x20 cm
2/18/2023,99,Headphones,180.27,19x14x6 cm
3/4/2023,52,Headphones,475.94,5x19x12 cm
1/1/2023,16,Smartphone,227.15,9x11x15 cm
2/25/2023,46,Laptop,75.6,7x9x16 cm
3/11/2023,44,Monitor,472.54,7x8x18 cm
2/13/2023,10,Monitor,83.99,8x12x13 cm
