prod_dimensions,stock_xfer_date
16x15x15 cm,2023-03-05
7x13x5 cm,2023-02-12
11x16x7 cm,2023-01-01
14x18x14 cm,2023-01-16
11x6x11 cm,2023-01-20
5x6x9 cm,2023-02-28
12x5x10 cm,2023-01-08
11x9x16 cm,2023-03-03
15x8x7 cm,2023-03-02
11x9x13 cm,2023-01-23
5x20x11 cm,2023-02-05
19x5x16 cm,2023-01-09
12x13x16 cm,2023-02-20
18x15x8 cm,2023-01-14
15x19x5 cm,2023-02-21
18x11x19 cm,2023-03-02
19x19x11 cm,2023-01-27
7x6x5 cm,2023-01-04
11x17x6 cm,2023-01-12
7x15x15 cm,2023-01-16
16x20x8 cm,2023-01-15
13x12x18 cm,2023-01-12
19x10x9 cm,2023-01-02
7x19x18 cm,2023-01-05
18x14x12 cm,2023-02-09
8x17x7 cm,2023-01-19
19x13x11 cm,2023-02-11
19x5x17 cm,2023-02-24
15x7x16 cm,2023-02-19
16x20x5 cm,2023-02-24
17x10x13 cm,2023-03-02
6x10x18 cm,2023-01-13
14x6x8 cm,2023-02-21
5x12x9 cm,2023-01-04
18x11x13 cm,2023-02-15
16x6x9 cm,2023-01-07
10x14x8 cm,2023-01-12
9x15x10 cm,2023-02-28
16x11x18 cm,2023-01-09
18x8x10 cm,2023-03-01
6x5x10 cm,2023-02-16
12x20x13 cm,2023-01-05
19x5x14 cm,2023-02-16
13x15x14 cm,2023-01-02
7x14x11 cm,2023-01-04
17x9x19 cm,2023-01-23
8x9x8 cm,2023-02-11
10x12x10 cm,2023-01-05
13x20x20 cm,2023-01-09
11x8x5 cm,2023-01-09
6x9x11 cm,2023-03-03
7x15x8 cm,2023-03-13
14x10x8 cm,2023-01-22
20x10x10 cm,2023-01-17
18x20x15 cm,2023-02-14
6x5x19 cm,2023-03-12
20x20x16 cm,2023-01-15
9x5x12 cm,2023-02-07
14x6x5 cm,2023-03-06
16x19x20 cm,2023-01-03
15x10x8 cm,2023-01-10
13x18x12 cm,2023-01-27
20x17x20 cm,2023-02-06
19x19x18 cm,2023-01-06
6x19x5 cm,2023-01-01
19x13x16 cm,2023-01-12
15x8x6 cm,2023-02-27
5x17x11 cm,2023-01-26
5x17x8 cm,2023-01-20
8x20x8 cm,2023-02-16
15x17x9 cm,2023-02-26
11x7x5 cm,2023-01-08
14x8x13 cm,2023-02-27
13x9x16 cm,2023-02-18
13x15x19 cm,2023-01-15
15x6x11 cm,2023-02-05
19x9x17 cm,2023-01-04
10x14x10 cm,2023-02-02
7x17x12 cm,2023-02-28
18x17x12 cm,2023-02-28
6x17x14 cm,2023-03-03
10x17x15 cm,2023-02-07
18x8x11 cm,2023-01-07
20x19x8 cm,2023-02-11
14x10x8 cm,2023-02-16
13x8x20 cm,2023-02-02
12x10x9 cm,2023-02-23
10x16x14 cm,2023-01-17
13x6x10 cm,2023-03-02
7x16x10 cm,2023-03-10
18x8x10 cm,2023-02-20
15x10x8 cm,2023-02-24
6x19x9 cm,2023-02-25
19x14x20 cm,2023-01-03
19x14x6 cm,2023-02-18
5x19x12 cm,2023-03-04
9x11x15 cm,2023-01-01
7x9x16 cm,2023-02-25
7x8x18 cm,2023-03-11
8x12x13 cm,2023-02-13
7x10x20 cm,2023-02-14
15x12x18 cm,2023-02-21
13x20x15 cm,2023-01-17
10x5x15 cm,2023-01-19
6x13x8 cm,2023-03-08
16x8x18 cm,2023-01-14
7x9x12 cm,2023-03-14
17x13x7 cm,2023-03-12
5x14x5 cm,2023-03-08
7x11x16 cm,2023-01-12
20x6x11 cm,2023-01-03
6x16x18 cm,2023-03-14
18x16x6 cm,2023-01-14
5x10x15 cm,2023-01-04
18x10x7 cm,2023-03-14
17x16x20 cm,2023-01-06
14x15x10 cm,2023-01-31
10x18x12 cm,2023-02-01
17x20x18 cm,2023-01-15
6x7x10 cm,2023-01-28
15x10x10 cm,2023-02-06
13x7x6 cm,2023-02-05
9x11x19 cm,2023-02-28
16x12x13 cm,2023-01-26
7x16x17 cm,2023-01-08
11x12x14 cm,2023-03-07
5x14x14 cm,2023-02-05
11x10x19 cm,2023-01-22
20x17x10 cm,2023-03-01
10x6x6 cm,2023-01-05
6x11x9 cm,2023-02-23
11x12x16 cm,2023-01-09
12x15x10 cm,2023-02-20
11x10x10 cm,2023-01-22
7x13x11 cm,2023-01-25
20x18x8 cm,2023-03-03
15x8x13 cm,2023-01-02
17x7x5 cm,2023-03-05
19x10x14 cm,2023-02-11
18x10x20 cm,2023-01-11
19x10x10 cm,2023-02-12
20x5x12 cm,2023-02-15
19x6x19 cm,2023-01-04
7x9x16 cm,2023-01-06
14x10x7 cm,2023-01-10
9x20x11 cm,2023-01-08
17x15x14 cm,2023-01-15
15x15x16 cm,2023-03-03
10x20x9 cm,2023-01-17
5x8x13 cm,2023-03-01
8x9x10 cm,2023-02-10
12x20x10 cm,2023-03-06
5x18x6 cm,2023-01-13
7x10x14 cm,2023-01-22
19x12x19 cm,2023-03-08
11x9x14 cm,2023-01-30
20x12x16 cm,2023-01-15
20x19x20 cm,2023-03-11
18x12x7 cm,2023-01-05
19x5x18 cm,2023-02-19
13x5x15 cm,2023-02-28
7x19x17 cm,2023-03-01
18x7x19 cm,2023-02-27
16x19x13 cm,2023-03-08
16x17x6 cm,2023-01-03
12x14x19 cm,2023-01-14
7x8x13 cm,2023-01-23
12x5x10 cm,2023-02-25
17x15x10 cm,2023-01-04
14x12x11 cm,2023-02-02
11x5x5 cm,2023-01-10
12x17x7 cm,2023-01-09
6x11x10 cm,2023-03-12
16x6x9 cm,2023-01-24
5x15x5 cm,2023-01-23
9x10x12 cm,2023-03-03
18x8x19 cm,2023-01-05
11x12x5 cm,2023-02-03
5x18x17 cm,2023-01-31
15x14x19 cm,2023-02-04
19x13x15 cm,2023-02-24
9x17x19 cm,2023-01-05
6x14x14 cm,2023-01-01
13x6x9 cm,2023-01-24
10x7x13 cm,2023-03-11
19x12x18 cm,2023-01-31
13x18x14 cm,2023-01-23
10x7x19 cm,2023-02-13
14x10x14 cm,2023-02-24
13x10x11 cm,2023-01-22
17x6x17 cm,2023-02-02
5x15x17 cm,2023-02-14
10x10x8 cm,2023-01-10
6x11x5 cm,2023-01-30
16x19x14 cm,2023-01-21
9x15x14 cm,2023-02-13
7x16x10 cm,2023-03-09
13x10x11 cm,2023-02-08
16x10x7 cm,2023-02-16
19x14x7 cm,2023-02-02
13x17x10 cm,2023-02-14
10x18x6 cm,2023-02-05
17x5x16 cm,2023-02-04
14x19x8 cm,2023-03-06
14x20x15 cm,2023-01-08
17x15x18 cm,2023-03-05
16x16x10 cm,2023-01-18
20x17x12 cm,2023-02-27
8x6x19 cm,2023-02-25
6x9x10 cm,2023-02-26
5x15x13 cm,2023-01-19
8x14x20 cm,2023-02-14
11x11x17 cm,2023-02-26
13x11x18 cm,2023-01-23
7x19x9 cm,2023-01-05
9x5x6 cm,2023-01-24
16x13x13 cm,2023-01-20
7x7x8 cm,2023-03-01
18x16x15 cm,2023-01-07
19x10x13 cm,2023-01-31
7x13x20 cm,2023-02-03
17x18x9 cm,2023-03-01
18x18x14 cm,2023-02-28
19x18x20 cm,2023-03-03
11x20x12 cm,2023-01-15
20x18x13 cm,2023-01-28
15x15x13 cm,2023-02-20
14x13x18 cm,2023-02-10
11x19x15 cm,2023-01-10
20x13x16 cm,2023-02-25
5x8x18 cm,2023-02-20
5x16x16 cm,2023-03-14
14x6x19 cm,2023-03-02
12x15x6 cm,2023-01-02
17x7x17 cm,2023-01-07
16x9x20 cm,2023-02-24
8x6x9 cm,2023-01-16
7x16x10 cm,2023-02-27
19x5x14 cm,2023-02-13
10x9x18 cm,2023-02-05
5x10x10 cm,2023-01-14
13x7x8 cm,2023-02-14
18x15x17 cm,2023-02-07
10x10x5 cm,2023-03-08
15x14x14 cm,2023-03-05
20x8x15 cm,2023-01-28
20x9x8 cm,2023-03-04
18x10x15 cm,2023-02-11
20x14x9 cm,2023-03-01
6x5x17 cm,2023-02-01
5x14x19 cm,2023-02-04
13x7x16 cm,2023-02-06
17x8x20 cm,2023-01-17
14x6x20 cm,2023-03-12
7x19x5 cm,2023-01-17
10x10x17 cm,2023-02-14
16x9x15 cm,2023-02-04
9x11x10 cm,2023-01-23
11x10x14 cm,2023-02-05
18x16x14 cm,2023-03-12
5x11x7 cm,2023-01-10
17x19x14 cm,2023-03-12
12x5x12 cm,2023-02-08
17x10x20 cm,2023-02-12
19x13x9 cm,2023-01-12
6x13x13 cm,2023-02-24
13x7x14 cm,2023-01-24
8x18x11 cm,2023-03-04
16x18x11 cm,2023-02-23
8x13x8 cm,2023-01-27
12x17x20 cm,2023-03-12
10x7x10 cm,2023-03-01
17x19x19 cm,2023-03-03
13x5x19 cm,2023-01-15
12x7x6 cm,2023-03-06
7x18x18 cm,2023-03-03
16x16x5 cm,2023-01-02
5x15x19 cm,2023-01-10
19x17x18 cm,2023-01-20
10x11x16 cm,2023-01-24
15x7x18 cm,2023-01-10
7x14x15 cm,2023-01-02
16x15x11 cm,2023-02-12
17x8x12 cm,2023-02-24
10x9x13 cm,2023-03-12
8x6x20 cm,2023-01-28
19x9x13 cm,2023-03-12
10x10x9 cm,2023-02-08
7x15x6 cm,2023-02-08
10x20x6 cm,2023-03-13
12x11x20 cm,2023-02-11
12x12x14 cm,2023-01-08
20x19x12 cm,2023-03-05
12x5x16 cm,2023-02-22
12x10x11 cm,2023-03-07
9x17x18 cm,2023-02-21
16x16x9 cm,2023-01-03
10x13x18 cm,2023-02-21
11x7x13 cm,2023-02-09
9x12x18 cm,2023-02-11
19x6x18 cm,2023-02-02
11x7x20 cm,2023-02-17
15x17x14 cm,2023-02-13
16x13x13 cm,2023-02-23
19x17x20 cm,2023-01-24
20x6x19 cm,2023-02-28
14x17x13 cm,2023-01-17
6x18x11 cm,2023-01-16
8x19x18 cm,2023-01-01
19x12x6 cm,2023-02-02
8x15x16 cm,2023-02-05
7x15x17 cm,2023-03-03
17x19x9 cm,2023-03-02
7x11x8 cm,2023-01-21
13x12x10 cm,2023-01-08
5x18x15 cm,2023-01-23
15x19x16 cm,2023-01-31
5x11x16 cm,2023-02-24
18x13x15 cm,2023-02-22
6x15x14 cm,2023-02-13
16x7x18 cm,2023-03-02
16x10x12 cm,2023-02-22
11x16x15 cm,2023-03-07
8x16x13 cm,2023-01-23
13x9x6 cm,2023-01-23
9x15x12 cm,2023-01-31
11x9x19 cm,2023-01-22
11x14x12 cm,2023-02-02
17x7x17 cm,2023-02-20
14x5x20 cm,2023-01-07
6x16x19 cm,2023-01-28
9x17x16 cm,2023-03-14
20x10x11 cm,2023-01-10
10x14x16 cm,2023-03-04
12x16x8 cm,2023-03-06
6x11x16 cm,2023-01-26
15x11x5 cm,2023-02-04
17x17x6 cm,2023-03-04
8x16x7 cm,2023-01-26
5x9x6 cm,2023-01-05
17x18x18 cm,2023-01-11
14x18x6 cm,2023-01-16
12x12x6 cm,2023-02-06
18x12x14 cm,2023-02-10
5x20x17 cm,2023-02-17
7x8x19 cm,2023-02-26
5x19x12 cm,2023-01-30
8x12x9 cm,2023-02-17
