stock_xfer_date,stock_qty
2023-03-05,3
2023-02-12,40
2023-01-01,98
2023-01-16,32
2023-01-20,48
2023-02-28,100
2023-01-08,47
2023-03-03,40
2023-03-02,91
2023-01-23,31
2023-02-05,81
2023-01-09,84
2023-02-20,100
2023-01-14,12
2023-02-21,37
2023-03-02,96
2023-01-27,19
2023-01-04,75
2023-01-12,87
2023-01-16,92
2023-01-15,72
2023-01-12,10
2023-01-02,79
2023-01-05,10
2023-02-09,18
2023-01-19,51
2023-02-11,44
2023-02-24,4
2023-02-19,30
2023-02-24,3
2023-03-02,37
2023-01-13,3
2023-02-21,92
2023-01-04,41
2023-02-15,61
2023-01-07,91
2023-01-12,52
2023-02-28,36
2023-01-09,10
2023-03-01,38
2023-02-16,57
2023-01-05,17
2023-02-16,50
2023-01-02,85
2023-01-04,37
2023-01-23,47
2023-02-11,25
2023-01-05,19
2023-01-09,11
2023-01-09,92
2023-03-03,54
2023-03-13,36
2023-01-22,67
2023-01-17,52
2023-02-14,5
2023-03-12,95
2023-01-15,93
2023-02-07,1
2023-03-06,76
2023-01-03,36
2023-01-10,22
2023-01-27,100
2023-02-06,68
2023-01-06,53
2023-01-01,4
2023-01-12,100
2023-02-27,80
2023-01-26,94
2023-01-20,85
2023-02-16,24
2023-02-26,75
2023-01-08,49
2023-02-27,85
2023-02-18,29
2023-01-15,71
2023-02-05,1
2023-01-04,17
2023-02-02,98
2023-02-28,79
2023-02-28,19
2023-03-03,72
2023-02-07,85
2023-01-07,7
2023-02-11,87
2023-02-16,78
2023-02-02,26
2023-02-23,11
2023-01-17,50
2023-03-02,11
2023-03-10,6
2023-02-20,54
2023-02-24,31
2023-02-25,73
2023-01-03,13
2023-02-18,99
2023-03-04,52
2023-01-01,16
2023-02-25,46
2023-03-11,44
2023-02-13,10
2023-02-14,16
2023-02-21,33
2023-01-17,81
2023-01-19,78
2023-03-08,42
2023-01-14,5
2023-03-14,71
2023-03-12,34
2023-03-08,35
2023-01-12,92
2023-01-03,100
2023-03-14,5
2023-01-14,52
2023-01-04,47
2023-03-14,39
2023-01-06,16
2023-01-31,82
2023-02-01,8
2023-01-15,61
2023-01-28,24
2023-02-06,23
2023-02-05,92
2023-02-28,3
2023-01-26,27
2023-01-08,5
2023-03-07,13
2023-02-05,88
2023-01-22,55
2023-03-01,11
2023-01-05,90
2023-02-23,1
2023-01-09,31
2023-02-20,53
2023-01-22,9
2023-01-25,55
2023-03-03,34
2023-01-02,69
2023-03-05,71
2023-02-11,34
2023-01-11,32
2023-02-12,49
2023-02-15,75
2023-01-04,55
2023-01-06,69
2023-01-10,96
2023-01-08,77
2023-01-15,81
2023-03-03,70
2023-01-17,5
2023-03-01,66
2023-02-10,28
2023-03-06,10
2023-01-13,21
2023-01-22,23
2023-03-08,71
2023-01-30,35
2023-01-15,86
2023-03-11,86
2023-01-05,50
2023-02-19,24
2023-02-28,32
2023-03-01,39
2023-02-27,56
2023-03-08,43
2023-01-03,99
2023-01-14,67
2023-01-23,74
2023-02-25,99
2023-01-04,73
2023-02-02,80
2023-01-10,46
2023-01-09,62
2023-03-12,42
2023-01-24,98
2023-01-23,6
2023-03-03,67
2023-01-05,19
2023-02-03,14
2023-01-31,69
2023-02-04,29
2023-02-24,85
2023-01-05,12
2023-01-01,16
2023-01-24,73
2023-03-11,31
2023-01-31,6
2023-01-23,49
2023-02-13,76
2023-02-24,67
2023-01-22,26
2023-02-02,71
2023-02-14,35
2023-01-10,79
2023-01-30,13
2023-01-21,25
2023-02-13,14
2023-03-09,75
2023-02-08,1
2023-02-16,64
2023-02-02,32
2023-02-14,78
2023-02-05,53
2023-02-04,68
2023-03-06,90
2023-01-08,43
2023-03-05,50
2023-01-18,27
2023-02-27,55
2023-02-25,28
2023-02-26,11
2023-01-19,73
2023-02-14,76
2023-02-26,83
2023-01-23,55
2023-01-05,30
2023-01-24,24
2023-01-20,35
2023-03-01,73
2023-01-07,92
2023-01-31,95
2023-02-03,7
2023-03-01,11
2023-02-28,99
2023-03-03,10
2023-01-15,15
2023-01-28,95
2023-02-20,4
2023-02-10,14
2023-01-10,13
2023-02-25,78
2023-02-20,77
2023-03-14,83
2023-03-02,36
2023-01-02,24
2023-01-07,71
2023-02-24,68
2023-01-16,8
2023-02-27,38
2023-02-13,2
2023-02-05,64
2023-01-14,2
2023-02-14,89
2023-02-07,25
2023-03-08,81
2023-03-05,44
2023-01-28,89
2023-03-04,100
2023-02-11,47
2023-03-01,30
2023-02-01,79
2023-02-04,45
2023-02-06,62
2023-01-17,61
2023-03-12,42
2023-01-17,91
2023-02-14,29
2023-02-04,62
2023-01-23,13
2023-02-05,61
2023-03-12,19
2023-01-10,64
2023-03-12,83
2023-02-08,59
2023-02-12,87
2023-01-12,69
2023-02-24,42
2023-01-24,48
2023-03-04,31
2023-02-23,78
2023-01-27,93
2023-03-12,11
2023-03-01,67
